,image_1_1,image_1_2,image_1_3,image_2_1,image_3_1,image_4_1,image_5_1,image_6_1,image_7_1,image_8_1,image_9_1,image_10_1
image_1_1,4,0,0,1,0,0,0,0,3,0,0,0
image_1_2,0,4,0,1,0,0,0,0,3,0,0,0
image_1_3,0,0,4,1,0,0,0,0,3,0,0,0
image_2_1,1,1,1,4,0,0,0,0,2,0,0,0
image_3_1,0,0,0,0,4,0,0,3,0,0,0,0
image_4_1,0,0,0,0,0,4,0,0,0,0,0,0
image_5_1,0,0,0,0,0,0,4,0,0,0,0,0
image_6_1,0,0,0,0,3,0,0,4,0,0,0,0
image_7_1,3,3,3,2,0,0,0,0,4,0,0,0
image_8_1,0,0,0,0,0,0,0,0,0,4,0,0
image_9_1,0,0,0,0,0,0,0,0,0,0,4,0
image_10_1,0,0,0,0,0,0,0,0,0,0,0,4
